,age,gender,q3,continente,q4,q6,q21,q22,q24
21,30-34,Man,Nigeria,África,Master’s degree,1-3 years,"1000-9,999 employees",1-2,Analyze and understand data to influence product or business decisions
21,30-34,Man,Nigeria,África,Master’s degree,1-3 years,"1000-9,999 employees",1-2, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
22,35-39,Woman,Tunisia,África,Doctoral degree,3-5 years,0-49 employees,3-4, None of these activities are an important part of my role at work
23,22-24,Man,China,Asia,Bachelor’s degree,1-3 years,50-249 employees,3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
23,22-24,Man,China,Asia,Bachelor’s degree,1-3 years,50-249 employees,3-4, Build prototypes to explore applying machine learning to new areas
24,25-29,Woman,Italy,Europa,Master’s degree,1-3 years,250-999 employees,1-2, Build prototypes to explore applying machine learning to new areas
25,25-29,Woman,India,Asia,Bachelor’s degree,3-5 years,"10,000 or more employees",1-2,Analyze and understand data to influence product or business decisions
25,25-29,Woman,India,Asia,Bachelor’s degree,3-5 years,"10,000 or more employees",1-2, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
25,25-29,Woman,India,Asia,Bachelor’s degree,3-5 years,"10,000 or more employees",1-2, Build prototypes to explore applying machine learning to new areas
25,25-29,Woman,India,Asia,Bachelor’s degree,3-5 years,"10,000 or more employees",1-2, Build and/or run a machine learning service that operationally improves my product or workflows
25,25-29,Woman,India,Asia,Bachelor’s degree,3-5 years,"10,000 or more employees",1-2, Experimentation and iteration to improve existing ML models
25,25-29,Woman,India,Asia,Bachelor’s degree,3-5 years,"10,000 or more employees",1-2, Do research that advances the state of the art of machine learning
26,50-54,Man,Spain,Europa,Bachelor’s degree,1-3 years,50-249 employees,3-4,Analyze and understand data to influence product or business decisions
26,50-54,Man,Spain,Europa,Bachelor’s degree,1-3 years,50-249 employees,3-4, Do research that advances the state of the art of machine learning
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,Analyze and understand data to influence product or business decisions
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,"10,000 or more employees",20+, Experimentation and iteration to improve existing ML models
28,30-34,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
28,30-34,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,0-49 employees,1-2, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,50-249 employees,3-4,Analyze and understand data to influence product or business decisions
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,50-249 employees,3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,50-249 employees,3-4, Build prototypes to explore applying machine learning to new areas
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,50-249 employees,3-4, Build and/or run a machine learning service that operationally improves my product or workflows
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,50-249 employees,3-4, Experimentation and iteration to improve existing ML models
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,50-249 employees,3-4, Do research that advances the state of the art of machine learning
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4, Build prototypes to explore applying machine learning to new areas
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4, Experimentation and iteration to improve existing ML models
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,"1000-9,999 employees",20+,Analyze and understand data to influence product or business decisions
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,"1000-9,999 employees",20+, Build prototypes to explore applying machine learning to new areas
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,"1000-9,999 employees",20+, Do research that advances the state of the art of machine learning
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,50-249 employees,3-4,Analyze and understand data to influence product or business decisions
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,50-249 employees,3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,50-249 employees,3-4, Build prototypes to explore applying machine learning to new areas
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,50-249 employees,3-4, Experimentation and iteration to improve existing ML models
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,50-249 employees,3-4,Analyze and understand data to influence product or business decisions
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,50-249 employees,3-4, Build prototypes to explore applying machine learning to new areas
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,50-249 employees,3-4, Build and/or run a machine learning service that operationally improves my product or workflows
34,25-29,Woman,India,Asia,Master’s degree,< 1 years,50-249 employees,5-9,Analyze and understand data to influence product or business decisions
34,25-29,Woman,India,Asia,Master’s degree,< 1 years,50-249 employees,5-9, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
34,25-29,Woman,India,Asia,Master’s degree,< 1 years,50-249 employees,5-9, Build and/or run a machine learning service that operationally improves my product or workflows
35,22-24,Woman,India,Asia,Bachelor’s degree,I have never written code,"10,000 or more employees",5-9,Analyze and understand data to influence product or business decisions
35,22-24,Woman,India,Asia,Bachelor’s degree,I have never written code,"10,000 or more employees",5-9, Experimentation and iteration to improve existing ML models
36,18-21,Woman,Turkey,África,Master’s degree,1-3 years,0-49 employees,5-9, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",5-9,Analyze and understand data to influence product or business decisions
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",5-9, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",5-9, Build prototypes to explore applying machine learning to new areas
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",5-9, Build and/or run a machine learning service that operationally improves my product or workflows
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",5-9, Experimentation and iteration to improve existing ML models
38,22-24,Man,India,Asia,Master’s degree,< 1 years,"10,000 or more employees",1-2, Build prototypes to explore applying machine learning to new areas
39,22-24,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,250-999 employees,0, None of these activities are an important part of my role at work
40,22-24,Man,Pakistan,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
41,35-39,Man,Other,,Bachelor’s degree,< 1 years,0-49 employees,0, Experimentation and iteration to improve existing ML models
41,35-39,Man,Other,,Bachelor’s degree,< 1 years,0-49 employees,0, Do research that advances the state of the art of machine learning
42,22-24,Man,Ukraine,Europa,Bachelor’s degree,< 1 years,,,
43,35-39,Man,Kenya,África,Bachelor’s degree,1-3 years,,,
44,30-34,Man,"Iran, Islamic Republic of...",Asia,Doctoral degree,3-5 years,"1000-9,999 employees",20+,Analyze and understand data to influence product or business decisions
44,30-34,Man,"Iran, Islamic Republic of...",Asia,Doctoral degree,3-5 years,"1000-9,999 employees",20+, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
45,45-49,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,10-20 years,50-249 employees,3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
46,35-39,Woman,Other,,Bachelor’s degree,1-3 years,"1000-9,999 employees",5-9,Analyze and understand data to influence product or business decisions
47,18-21,Woman,China,Asia,I prefer not to answer,1-3 years,0-49 employees,3-4,Analyze and understand data to influence product or business decisions
48,25-29,Man,South Korea,Asia,Bachelor’s degree,1-3 years,,,
49,30-34,Man,Other,,Doctoral degree,< 1 years,,,
50,30-34,Man,Russia,Asia,Master’s degree,3-5 years,250-999 employees,10-14, None of these activities are an important part of my role at work
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,50-249 employees,1-2,Analyze and understand data to influence product or business decisions
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,50-249 employees,1-2, Experimentation and iteration to improve existing ML models
52,22-24,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years,"10,000 or more employees",20+,Analyze and understand data to influence product or business decisions
53,50-54,Man,Egypt,África,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,Analyze and understand data to influence product or business decisions
54,22-24,Woman,Other,,Master’s degree,3-5 years,0-49 employees,5-9, Experimentation and iteration to improve existing ML models
55,40-44,Man,Belgium,Europa,Bachelor’s degree,20+ years,"1000-9,999 employees",3-4,Analyze and understand data to influence product or business decisions
56,25-29,Woman,India,Asia,Master’s degree,< 1 years,50-249 employees,0,Analyze and understand data to influence product or business decisions
57,18-21,Woman,Indonesia,Asia,Some college/university study without earning a bachelor’s degree,20+ years,,,
58,30-34,Man,Germany,Europa,Master’s degree,1-3 years,50-249 employees,5-9,Analyze and understand data to influence product or business decisions
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2, Build prototypes to explore applying machine learning to new areas
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2, Build and/or run a machine learning service that operationally improves my product or workflows
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2, Experimentation and iteration to improve existing ML models
60,30-34,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,50-249 employees,1-2,Analyze and understand data to influence product or business decisions
61,25-29,Man,South Korea,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
62,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,"1000-9,999 employees",1-2,Analyze and understand data to influence product or business decisions
62,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,"1000-9,999 employees",1-2, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
63,30-34,Woman,Other,,Master’s degree,3-5 years,50-249 employees,20+,Analyze and understand data to influence product or business decisions
64,25-29,Man,Russia,Asia,No formal education past high school,5-10 years,250-999 employees,5-9,Analyze and understand data to influence product or business decisions
64,25-29,Man,Russia,Asia,No formal education past high school,5-10 years,250-999 employees,5-9, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
64,25-29,Man,Russia,Asia,No formal education past high school,5-10 years,250-999 employees,5-9, Build prototypes to explore applying machine learning to new areas
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
66,45-49,Man,Greece,Europa,Bachelor’s degree,< 1 years,"1000-9,999 employees",0,Analyze and understand data to influence product or business decisions
67,22-24,Man,China,Asia,Bachelor’s degree,< 1 years,0-49 employees,,
68,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,0-49 employees,10-14,Analyze and understand data to influence product or business decisions
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,0-49 employees,0,Analyze and understand data to influence product or business decisions
70,22-24,Man,India,Asia,Master’s degree,< 1 years,0-49 employees,1-2, Build and/or run a machine learning service that operationally improves my product or workflows
71,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,0,Analyze and understand data to influence product or business decisions
71,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,0, Build and/or run a machine learning service that operationally improves my product or workflows
71,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,0, Do research that advances the state of the art of machine learning
72,30-34,Woman,Russia,Asia,Master’s degree,3-5 years,"10,000 or more employees",20+,Analyze and understand data to influence product or business decisions
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,"1000-9,999 employees",5-9,Analyze and understand data to influence product or business decisions
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,"1000-9,999 employees",5-9, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,"1000-9,999 employees",5-9, Build prototypes to explore applying machine learning to new areas
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,"1000-9,999 employees",5-9, Build and/or run a machine learning service that operationally improves my product or workflows
74,22-24,Man,India,Asia,Bachelor’s degree,I have never written code,0-49 employees,0, None of these activities are an important part of my role at work
75,25-29,Woman,India,Asia,Master’s degree,1-3 years,"10,000 or more employees",3-4,Analyze and understand data to influence product or business decisions
76,25-29,Woman,India,Asia,Master’s degree,< 1 years,250-999 employees,10-14, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
76,25-29,Woman,India,Asia,Master’s degree,< 1 years,250-999 employees,10-14, Build and/or run a machine learning service that operationally improves my product or workflows
77,30-34,Man,Egypt,África,Master’s degree,< 1 years,"1000-9,999 employees",0,Analyze and understand data to influence product or business decisions
78,30-34,Man,China,Asia,Master’s degree,3-5 years,0-49 employees,5-9, Build prototypes to explore applying machine learning to new areas
78,30-34,Man,China,Asia,Master’s degree,3-5 years,0-49 employees,5-9, Experimentation and iteration to improve existing ML models
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years,0-49 employees,1-2, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
80,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,"10,000 or more employees",20+,Analyze and understand data to influence product or business decisions
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,"10,000 or more employees",20+, Build prototypes to explore applying machine learning to new areas
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,"10,000 or more employees",20+, Build and/or run a machine learning service that operationally improves my product or workflows
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,"10,000 or more employees",20+, Experimentation and iteration to improve existing ML models
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years,50-249 employees,3-4,Analyze and understand data to influence product or business decisions
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years,50-249 employees,3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years,50-249 employees,3-4, Build prototypes to explore applying machine learning to new areas
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years,50-249 employees,3-4, Build and/or run a machine learning service that operationally improves my product or workflows
83,70+,Man,United States of America,América del Norte,Master’s degree,20+ years,"10,000 or more employees",1-2,
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2, Build prototypes to explore applying machine learning to new areas
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2, Build and/or run a machine learning service that operationally improves my product or workflows
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2, Experimentation and iteration to improve existing ML models
85,30-34,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,,,
86,30-34,Woman,Portugal,Europa,Master’s degree,5-10 years,50-249 employees,1-2,Analyze and understand data to influence product or business decisions
87,30-34,Man,India,Asia,Master’s degree,I have never written code,"10,000 or more employees",0,Analyze and understand data to influence product or business decisions
88,30-34,Man,Australia,Oceanía,Master’s degree,3-5 years,250-999 employees,20+,Analyze and understand data to influence product or business decisions
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,0-49 employees,10-14,Analyze and understand data to influence product or business decisions
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,0-49 employees,10-14, Build prototypes to explore applying machine learning to new areas
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,0-49 employees,10-14, Build and/or run a machine learning service that operationally improves my product or workflows
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,"10,000 or more employees",3-4,Analyze and understand data to influence product or business decisions
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,"10,000 or more employees",3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,"10,000 or more employees",3-4, Build prototypes to explore applying machine learning to new areas
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,"10,000 or more employees",3-4, Do research that advances the state of the art of machine learning
91,30-34,Woman,India,Asia,Master’s degree,5-10 years,0-49 employees,0, None of these activities are an important part of my role at work
92,25-29,Woman,India,Asia,Bachelor’s degree,I have never written code,"1000-9,999 employees",20+,Analyze and understand data to influence product or business decisions
93,25-29,Man,China,Asia,Master’s degree,1-3 years,250-999 employees,1-2,Analyze and understand data to influence product or business decisions
93,25-29,Man,China,Asia,Master’s degree,1-3 years,250-999 employees,1-2, Build and/or run a machine learning service that operationally improves my product or workflows
94,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
94,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2, Experimentation and iteration to improve existing ML models
95,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,50-249 employees,0,Analyze and understand data to influence product or business decisions
96,30-34,Man,Turkey,África,Bachelor’s degree,< 1 years,0-49 employees,0, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
97,25-29,Man,Philippines,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,Analyze and understand data to influence product or business decisions
97,25-29,Man,Philippines,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4, Build and/or run a machine learning service that operationally improves my product or workflows
98,60-69,Man,Taiwan,Asia,Doctoral degree,1-3 years,250-999 employees,20+, Other
99,35-39,Woman,Australia,Oceanía,Doctoral degree,3-5 years,50-249 employees,3-4,Analyze and understand data to influence product or business decisions
99,35-39,Woman,Australia,Oceanía,Doctoral degree,3-5 years,50-249 employees,3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
99,35-39,Woman,Australia,Oceanía,Doctoral degree,3-5 years,50-249 employees,3-4, Build prototypes to explore applying machine learning to new areas
100,25-29,Woman,Nigeria,África,Master’s degree,< 1 years,"10,000 or more employees",20+,Analyze and understand data to influence product or business decisions
100,25-29,Woman,Nigeria,África,Master’s degree,< 1 years,"10,000 or more employees",20+, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
101,40-44,Man,Germany,Europa,Master’s degree,< 1 years,250-999 employees,1-2, Build and/or run a machine learning service that operationally improves my product or workflows
102,25-29,Man,India,Asia,Bachelor’s degree,< 1 years,"1000-9,999 employees",10-14,Analyze and understand data to influence product or business decisions
103,18-21,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,"1000-9,999 employees",20+, None of these activities are an important part of my role at work
104,25-29,Man,Pakistan,Asia,Bachelor’s degree,< 1 years,0-49 employees,0,Analyze and understand data to influence product or business decisions
105,30-34,Man,Other,,Master’s degree,1-3 years,50-249 employees,0, None of these activities are an important part of my role at work
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years,"1000-9,999 employees",10-14,Analyze and understand data to influence product or business decisions
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years,"1000-9,999 employees",10-14, Build and/or run a machine learning service that operationally improves my product or workflows
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years,"1000-9,999 employees",10-14, Experimentation and iteration to improve existing ML models
107,30-34,Woman,Germany,Europa,Master’s degree,5-10 years,"10,000 or more employees",5-9,Analyze and understand data to influence product or business decisions
108,25-29,Man,Nigeria,África,Master’s degree,< 1 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
109,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,0,Analyze and understand data to influence product or business decisions
109,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,0, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
110,60-69,Prefer not to say,United States of America,América del Norte,Master’s degree,I have never written code,"10,000 or more employees",5-9,Analyze and understand data to influence product or business decisions
110,60-69,Prefer not to say,United States of America,América del Norte,Master’s degree,I have never written code,"10,000 or more employees",5-9, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
110,60-69,Prefer not to say,United States of America,América del Norte,Master’s degree,I have never written code,"10,000 or more employees",5-9, Experimentation and iteration to improve existing ML models
111,22-24,Woman,India,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",20+,
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,Analyze and understand data to influence product or business decisions
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+, Build prototypes to explore applying machine learning to new areas
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+, Build and/or run a machine learning service that operationally improves my product or workflows
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+, Do research that advances the state of the art of machine learning
113,45-49,Man,Spain,Europa,Bachelor’s degree,5-10 years,"1000-9,999 employees",20+,Analyze and understand data to influence product or business decisions
114,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,50-249 employees,1-2,Analyze and understand data to influence product or business decisions
115,40-44,Man,Ukraine,Europa,Master’s degree,3-5 years,0-49 employees,1-2,
116,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,,,
117,22-24,Woman,India,Asia,Master’s degree,1-3 years,50-249 employees,20+,Analyze and understand data to influence product or business decisions
117,22-24,Woman,India,Asia,Master’s degree,1-3 years,50-249 employees,20+, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
117,22-24,Woman,India,Asia,Master’s degree,1-3 years,50-249 employees,20+, Do research that advances the state of the art of machine learning
